close,date
132.045,2015-05-27
131.78,2015-05-28
130.28,2015-05-29
130.535,2015-06-01
129.96,2015-06-02
130.12,2015-06-03
129.36,2015-06-04
128.65,2015-06-05
127.8,2015-06-08
127.42,2015-06-09
128.88,2015-06-10
128.59,2015-06-11
127.17,2015-06-12
126.92,2015-06-15
127.6,2015-06-16
127.3,2015-06-17
127.88,2015-06-18
126.6,2015-06-19
127.61,2015-06-22
127.03,2015-06-23
128.11,2015-06-24
127.5,2015-06-25
126.75,2015-06-26
124.53,2015-06-29
125.425,2015-06-30
126.6,2015-07-01
126.44,2015-07-02
126.0,2015-07-06
125.69,2015-07-07
122.57,2015-07-08
120.07,2015-07-09
123.28,2015-07-10
125.66,2015-07-13
125.61,2015-07-14
126.82,2015-07-15
128.51,2015-07-16
129.62,2015-07-17
132.07,2015-07-20
130.75,2015-07-21
125.22,2015-07-22
125.16,2015-07-23
124.5,2015-07-24
122.77,2015-07-27
123.38,2015-07-28
122.99,2015-07-29
122.37,2015-07-30
121.3,2015-07-31
118.44,2015-08-03
114.64,2015-08-04
115.4,2015-08-05
115.13,2015-08-06
115.52,2015-08-07
119.72,2015-08-10
113.49,2015-08-11
115.24,2015-08-12
115.15,2015-08-13
115.96,2015-08-14
117.16,2015-08-17
116.5,2015-08-18
115.01,2015-08-19
112.65,2015-08-20
105.76,2015-08-21
103.12,2015-08-24
103.74,2015-08-25
109.69,2015-08-26
112.92,2015-08-27
113.29,2015-08-28
112.76,2015-08-31
107.72,2015-09-01
112.34,2015-09-02
110.37,2015-09-03
109.27,2015-09-04
112.31,2015-09-08
110.15,2015-09-09
112.57,2015-09-10
114.21,2015-09-11
115.31,2015-09-14
116.28,2015-09-15
116.41,2015-09-16
113.92,2015-09-17
113.45,2015-09-18
115.21,2015-09-21
113.4,2015-09-22
114.32,2015-09-23
115.0,2015-09-24
114.71,2015-09-25
112.44,2015-09-28
109.06,2015-09-29
109.95,2015-09-30
109.58,2015-10-01
110.38,2015-10-02
110.78,2015-10-05
111.31,2015-10-06
110.78,2015-10-07
109.5,2015-10-08
112.12,2015-10-09
111.6,2015-10-12
111.79,2015-10-13
110.21,2015-10-14
111.86,2015-10-15
111.04,2015-10-16
111.73,2015-10-19
113.77,2015-10-20
113.76,2015-10-21
